diyogon 32879 Sun Aug 28 17:19:58 2016

Avatar 0:(0,0) Moving east.
0:(11,3) 1:(29,9) 2:(6,21) 3:(25,22) Avatar 1:(29,9) Moving south.
0:(11,3) 1:(29,10) 2:(6,21) 3:(25,22) Avatar 2:(6,21) Moving north.
0:(11,3) 1:(29,10) 2:(6,20) 3:(25,22) Avatar 3:(25,22) Moving west.
0:(11,3) 1:(29,10) 2:(6,20) 3:(24,22) Avatar 0:(11,3) Moving east.
0:(11,3) 1:(29,10) 2:(6,20) 3:(24,22) Avatar 1:(29,10) Moving south.
0:(11,3) 1:(29,10) 2:(6,20) 3:(24,22) Avatar 2:(6,20) Moving north.
0:(11,3) 1:(29,10) 2:(6,19) 3:(24,22) Avatar 3:(24,22) Moving north.
0:(11,3) 1:(29,10) 2:(6,19) 3:(24,22) Avatar 0:(11,3) Moving south.
0:(11,4) 1:(29,10) 2:(6,19) 3:(24,22) Avatar 1:(29,10) Moving west.
0:(11,4) 1:(28,10) 2:(6,19) 3:(24,22) Avatar 2:(6,19) Moving north.
0:(11,4) 1:(28,10) 2:(6,18) 3:(24,22) Avatar 3:(24,22) Moving south.
0:(11,4) 1:(28,10) 2:(6,18) 3:(24,22) Avatar 0:(11,4) Moving east.
0:(11,4) 1:(28,10) 2:(6,18) 3:(24,22) Avatar 1:(28,10) Moving north.
0:(11,4) 1:(28,9) 2:(6,18) 3:(24,22) Avatar 2:(6,18) Moving north.
0:(11,4) 1:(28,9) 2:(6,18) 3:(24,22) Avatar 3:(24,22) Moving west.
0:(11,4) 1:(28,9) 2:(6,18) 3:(23,22) Avatar 0:(11,4) Moving south.
0:(11,5) 1:(28,9) 2:(6,18) 3:(23,22) Avatar 1:(28,9) Moving north.
0:(11,5) 1:(28,8) 2:(6,18) 3:(23,22) Avatar 2:(6,18) Moving east.
0:(11,5) 1:(28,8) 2:(7,18) 3:(23,22) Avatar 3:(23,22) Moving north.
0:(11,5) 1:(28,8) 2:(7,18) 3:(23,22) Avatar 0:(11,5) Moving east.
0:(11,5) 1:(28,8) 2:(7,18) 3:(23,22) Avatar 1:(28,8) Moving north.
0:(11,5) 1:(28,8) 2:(7,18) 3:(23,22) Avatar 2:(7,18) Moving north.
0:(11,5) 1:(28,8) 2:(7,18) 3:(23,22) Avatar 3:(23,22) Moving south.
0:(11,5) 1:(28,8) 2:(7,18) 3:(23,22) Avatar 0:(11,5) Moving south.
0:(11,5) 1:(28,8) 2:(7,18) 3:(23,22) Avatar 1:(28,8) Moving east.
0:(11,5) 1:(28,8) 2:(7,18) 3:(23,22) Avatar 2:(7,18) Moving east.
0:(11,5) 1:(28,8) 2:(8,18) 3:(23,22) Avatar 3:(23,22) Moving west.
0:(11,5) 1:(28,8) 2:(8,18) 3:(22,22) Avatar 0:(11,5) Moving west.
0:(10,5) 1:(28,8) 2:(8,18) 3:(22,22) Avatar 1:(28,8) Moving west.
0:(10,5) 1:(27,8) 2:(8,18) 3:(22,22) Avatar 2:(8,18) Moving north.
0:(10,5) 1:(27,8) 2:(8,18) 3:(22,22) Avatar 3:(22,22) Moving north.
0:(10,5) 1:(27,8) 2:(8,18) 3:(22,21) Avatar 0:(10,5) Moving north.
0:(10,5) 1:(27,8) 2:(8,18) 3:(22,21) Avatar 1:(27,8) Moving north.
0:(10,5) 1:(27,7) 2:(8,18) 3:(22,21) Avatar 2:(8,18) Moving east.
0:(10,5) 1:(27,7) 2:(9,18) 3:(22,21) Avatar 3:(22,21) Moving north.
0:(10,5) 1:(27,7) 2:(9,18) 3:(22,21) Avatar 0:(10,5) Moving south.
0:(10,6) 1:(27,7) 2:(9,18) 3:(22,21) Avatar 1:(27,7) Moving north.
0:(10,6) 1:(27,7) 2:(9,18) 3:(22,21) Avatar 2:(9,18) Moving north.
0:(10,6) 1:(27,7) 2:(9,17) 3:(22,21) Avatar 3:(22,21) Moving east.
0:(10,6) 1:(27,7) 2:(9,17) 3:(22,21) Avatar 0:(10,6) Moving east.
0:(10,6) 1:(27,7) 2:(9,17) 3:(22,21) Avatar 1:(27,7) Moving east.
0:(10,6) 1:(28,7) 2:(9,17) 3:(22,21) Avatar 2:(9,17) Moving north.
0:(10,6) 1:(28,7) 2:(9,17) 3:(22,21) Avatar 3:(22,21) Moving west.
0:(10,6) 1:(28,7) 2:(9,17) 3:(21,21) Avatar 0:(10,6) Moving south.
0:(10,6) 1:(28,7) 2:(9,17) 3:(21,21) Avatar 1:(28,7) Moving north.
0:(10,6) 1:(28,6) 2:(9,17) 3:(21,21) Avatar 2:(9,17) Moving east.
0:(10,6) 1:(28,6) 2:(9,17) 3:(21,21) Avatar 3:(21,21) Moving north.
0:(10,6) 1:(28,6) 2:(9,17) 3:(21,21) Avatar 0:(10,6) Moving west.
0:(9,6) 1:(28,6) 2:(9,17) 3:(21,21) Avatar 1:(28,6) Moving north.
0:(9,6) 1:(28,6) 2:(9,17) 3:(21,21) Avatar 2:(9,17) Moving west.
0:(9,6) 1:(28,6) 2:(8,17) 3:(21,21) Avatar 3:(21,21) Moving south.
0:(9,6) 1:(28,6) 2:(8,17) 3:(21,22) Avatar 0:(9,6) Moving north.
0:(9,5) 1:(28,6) 2:(8,17) 3:(21,22) Avatar 1:(28,6) Moving east.
0:(9,5) 1:(28,6) 2:(8,17) 3:(21,22) Avatar 2:(8,17) Moving north.
0:(9,5) 1:(28,6) 2:(8,16) 3:(21,22) Avatar 3:(21,22) Moving east.
0:(9,5) 1:(28,6) 2:(8,16) 3:(21,22) Avatar 0:(9,5) Moving north.
0:(9,4) 1:(28,6) 2:(8,16) 3:(21,22) Avatar 1:(28,6) Moving west.
0:(9,4) 1:(27,6) 2:(8,16) 3:(21,22) Avatar 2:(8,16) Moving north.
0:(9,4) 1:(27,6) 2:(8,16) 3:(21,22) Avatar 3:(21,22) Moving south.
0:(9,4) 1:(27,6) 2:(8,16) 3:(21,22) Avatar 0:(9,4) Moving north.
0:(9,4) 1:(27,6) 2:(8,16) 3:(21,22) Avatar 1:(27,6) Moving north.
0:(9,4) 1:(27,5) 2:(8,16) 3:(21,22) Avatar 2:(8,16) Moving east.
0:(9,4) 1:(27,5) 2:(9,16) 3:(21,22) Avatar 3:(21,22) Moving west.
0:(9,4) 1:(27,5) 2:(9,16) 3:(20,22) Avatar 0:(9,4) Moving east.
0:(10,4) 1:(27,5) 2:(9,16) 3:(20,22) Avatar 1:(27,5) Moving north.
0:(10,4) 1:(27,4) 2:(9,16) 3:(20,22) Avatar 2:(9,16) Moving north.
0:(10,4) 1:(27,4) 2:(9,15) 3:(20,22) Avatar 3:(20,22) Moving north.
0:(10,4) 1:(27,4) 2:(9,15) 3:(20,22) Avatar 0:(10,4) Moving north.
0:(10,3) 1:(27,4) 2:(9,15) 3:(20,22) Avatar 1:(27,4) Moving north.
0:(10,3) 1:(27,4) 2:(9,15) 3:(20,22) Avatar 2:(9,15) Moving north.
0:(10,3) 1:(27,4) 2:(9,14) 3:(20,22) Avatar 3:(20,22) Moving south.
0:(10,3) 1:(27,4) 2:(9,14) 3:(20,22) Avatar 0:(10,3) Moving north.
0:(10,2) 1:(27,4) 2:(9,14) 3:(20,22) Avatar 1:(27,4) Moving east.
0:(10,2) 1:(28,4) 2:(9,14) 3:(20,22) Avatar 2:(9,14) Moving north.
0:(10,2) 1:(28,4) 2:(9,13) 3:(20,22) Avatar 3:(20,22) Moving west.
0:(10,2) 1:(28,4) 2:(9,13) 3:(19,22) Avatar 0:(10,2) Moving north.
0:(10,2) 1:(28,4) 2:(9,13) 3:(19,22) Avatar 1:(28,4) Moving north.
0:(10,2) 1:(28,4) 2:(9,13) 3:(19,22) Avatar 2:(9,13) Moving north.
0:(10,2) 1:(28,4) 2:(9,12) 3:(19,22) Avatar 3:(19,22) Moving north.
0:(10,2) 1:(28,4) 2:(9,12) 3:(19,22) Avatar 0:(10,2) Moving east.
0:(10,2) 1:(28,4) 2:(9,12) 3:(19,22) Avatar 1:(28,4) Moving east.
0:(10,2) 1:(28,4) 2:(9,12) 3:(19,22) Avatar 2:(9,12) Moving north.
0:(10,2) 1:(28,4) 2:(9,11) 3:(19,22) Avatar 3:(19,22) Moving south.
0:(10,2) 1:(28,4) 2:(9,11) 3:(19,22) Avatar 0:(10,2) Moving west.
0:(9,2) 1:(28,4) 2:(9,11) 3:(19,22) Avatar 1:(28,4) Moving south.
0:(9,2) 1:(28,5) 2:(9,11) 3:(19,22) Avatar 2:(9,11) Moving north.
0:(9,2) 1:(28,5) 2:(9,11) 3:(19,22) Avatar 3:(19,22) Moving west.
0:(9,2) 1:(28,5) 2:(9,11) 3:(18,22) Avatar 0:(9,2) Moving north.
0:(9,2) 1:(28,5) 2:(9,11) 3:(18,22) Avatar 1:(28,5) Moving east.
0:(9,2) 1:(28,5) 2:(9,11) 3:(18,22) Avatar 2:(9,11) Moving east.
0:(9,2) 1:(28,5) 2:(9,11) 3:(18,22) Avatar 3:(18,22) Moving north.
0:(9,2) 1:(28,5) 2:(9,11) 3:(18,21) Avatar 0:(9,2) Moving south.
0:(9,3) 1:(28,5) 2:(9,11) 3:(18,21) Avatar 1:(28,5) Moving west.
0:(9,3) 1:(28,5) 2:(9,11) 3:(18,21) Avatar 2:(9,11) Moving west.
0:(9,3) 1:(28,5) 2:(8,11) 3:(18,21) Avatar 3:(18,21) Moving north.
0:(9,3) 1:(28,5) 2:(8,11) 3:(18,21) Avatar 0:(9,3) Moving east.
